NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
0,52,6,13,0
1,21,6,13,0
2,80,6,13,0
3,25,6,13,0
4,20,6,13,0
5,134,6,13,0
6,15,6,13,0
7,17,6,13,0
8,20,6,13,0
9,29,6,13,0
10,27,6,13,0
11,12,6,13,0
12,21,6,13,0
13,86,6,13,0
14,14,6,13,0
15,24,6,13,0
16,70,6,13,0
17,11,6,13,0
18,26,6,13,0
19,17,6,13,0
20,12,6,13,0
21,12,6,13,0
22,16,6,13,0
23,14,6,13,0
24,36,6,13,0
25,43,6,13,0
26,35,6,13,0
27,26,6,13,0
28,28,6,13,0
29,12,6,13,0
30,32,6,13,0
31,15,6,13,0
32,11,6,13,0
33,184,6,13,0
34,231,6,13,0
35,12,6,13,0
36,18,6,13,0
37,222,6,13,0
38,83,6,13,0
39,211,6,13,0
40,14,6,13,0
41,21,6,13,0
42,49,6,13,0
43,35,6,13,0
44,26,6,13,0
45,68,6,13,0
46,47,6,13,0
47,236,6,13,0
48,135,6,13,0
49,21,6,13,0
50,16,6,13,0
51,23,6,13,0
52,35,6,13,0
53,19,6,13,0
54,22,6,13,0
55,11,6,13,0
56,187,6,13,0
57,23,6,13,0
58,75,6,13,0
59,23,6,13,0
60,26,6,13,0
61,9,6,13,0
62,14,6,13,0
63,16,6,13,0
64,20,6,13,0
65,50,6,13,0
66,87,6,13,0
67,12,6,13,0
68,15,6,13,0
69,69,6,13,0
70,28,6,13,0
71,79,6,13,0
72,34,6,13,0
73,15,6,13,0
74,186,6,13,0
75,20,6,13,0
76,90,6,13,0
77,64,6,13,0
78,39,6,13,0
79,25,6,13,0
80,43,6,13,0
81,13,6,13,0
82,15,6,13,0
83,35,6,13,0
84,59,6,13,0
85,234,6,13,0
86,91,6,13,0
87,15,6,13,0
88,23,6,13,0
89,44,6,13,0
90,70,6,13,0
91,237,6,13,0
92,64,6,13,0
93,9,6,13,0
94,9,6,13,0
95,45,6,13,0
96,30,6,13,0
97,49,6,13,0
98,35,6,13,0
99,17,6,13,0
100,23,6,13,0
101,233,6,13,0
102,9,6,13,0
103,83,6,13,0
104,17,6,13,0
105,14,6,13,0
106,66,6,13,0
107,14,6,13,0
108,114,6,13,0
109,12,6,13,0
110,25,6,13,0
111,45,6,13,0
112,24,6,13,0
113,226,6,13,0
114,17,6,13,0
115,120,6,13,0
116,221,6,13,0
117,10,6,13,0
118,12,6,13,0
119,18,6,13,0
120,25,6,13,0
121,39,6,13,0
122,18,6,13,0
123,115,6,13,0
124,12,6,13,0
125,207,6,13,0
126,15,6,13,0
127,66,6,13,0
128,40,6,13,0
129,206,6,13,0
130,43,6,13,0
13,11,6,13,0
132,17,6,13,0
133,118,6,13,0
134,7,6,13,0
135,8,6,13,0
136,151,6,13,0
137,15,6,13,0
138,42,6,13,0
139,37,6,13,0
140,42,6,13,0
141,231,6,13,0
142,13,6,13,0
143,33,6,13,0
144,16,6,13,0
145,28,6,13,0
146,16,6,13,0
147,23,6,13,0
148,11,6,13,0
149,42,6,13,0
150,21,6,13,0
151,175,6,13,0
152,29,6,13,0
153,27,6,13,0
154,14,6,13,0
155,237,6,13,0
156,151,6,13,0
157,48,6,13,0
158,47,6,13,0
159,29,6,13,0
160,44,6,13,0
161,19,6,13,0
162,17,6,13,0
163,42,6,13,0
164,54,6,13,0
165,22,6,13,0
166,22,6,13,0
167,45,6,13,0
168,97,6,13,0
169,11,6,13,0
170,69,6,13,0
171,11,6,13,0
172,36,6,13,0
173,15,6,13,0
174,62,6,13,0
175,31,6,13,0
176,10,6,13,0
177,24,6,13,0
178,15,6,13,0
179,23,6,13,0
180,32,6,13,0
181,215,6,13,0
182,21,6,13,0
183,90,6,13,0
184,30,6,13,0
185,72,6,13,0
186,13,6,13,0
187,79,6,13,0
188,79,6,13,0
189,12,6,13,0
190,28,6,13,0
191,16,6,13,0
192,29,6,13,0
193,26,6,13,0
194,11,6,13,0
195,30,6,13,0
196,22,6,13,0
197,22,6,13,0
198,90,6,13,0
199,18,6,13,0
200,47,6,13,0
201,34,6,13,0
202,14,6,13,0
203,224,6,13,0
204,37,6,13,0
205,23,6,13,0
206,133,6,13,0
207,173,6,13,0
208,13,6,13,0
209,16,6,13,0
210,27,6,13,0
211,235,6,13,0
212,34,6,13,0
213,21,6,13,0
214,54,6,13,0
215,51,6,13,0
216,28,6,13,0
217,87,6,13,0
218,228,6,13,0
219,106,6,13,0
220,48,6,13,0
221,56,6,13,0
222,47,6,13,0
223,16,6,13,0
224,18,6,13,0
225,48,6,13,0
226,31,6,13,0
227,28,6,13,0
228,11,6,13,0
229,43,6,13,0
230,80,6,13,0
231,136,6,13,0
232,36,6,13,0
233,16,6,13,0
234,52,6,13,0
235,185,6,13,0
236,44,6,13,0
237,217,6,13,0
238,78,6,13,0
239,121,6,13,0
240,36,6,13,0
241,227,6,13,0
242,230,6,13,0
243,49,6,13,0
244,43,6,13,0
245,231,6,13,0
246,140,6,13,0
247,54,6,13,0
248,152,6,13,0
249,85,6,13,0
250,12,6,13,0
251,39,6,13,0
252,39,6,13,0
253,143,6,13,0
254,232,6,13,0
255,29,6,13,0
256,125,6,13,0
257,20,6,13,0
258,56,6,13,0
259,25,6,13,0
260,133,6,13,0
261,28,6,13,0
