NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
0,89,6,13,1
1,146,6,13,1
2,15,6,13,1
3,25,6,13,1
4,28,6,13,1
5,28,6,13,1
6,26,6,13,1
7,17,6,13,1
8,30,6,13,1
9,21,6,13,1
10,83,6,13,1
11,50,6,13,1
12,27,6,13,1
13,25,6,13,1
14,51,6,13,1
15,32,6,13,1
16,24,6,13,1
17,36,6,13,1
18,49,6,13,1
19,83,6,13,1
20,58,6,13,1
21,100,6,13,1
22,19,6,13,1
23,69,6,13,1
24,20,6,13,1
25,280,6,13,1
26,18,6,13,1
27,127,6,13,1
28,20,6,13,1
29,40,6,13,1
30,22,6,13,1
31,14,6,13,1
32,31,6,13,1
33,31,6,13,1
34,17,6,13,1
35,39,6,13,1
36,27,6,13,1
37,61,6,13,1
38,36,6,13,1
39,52,6,13,1
40,29,6,13,1
41,63,6,13,1
42,50,6,13,1
43,62,6,13,1
44,21,6,13,1
45,214,6,13,1
46,56,6,13,1
47,11,6,13,1
48,47,6,13,1
49,19,6,13,1
50,38,6,13,1
51,26,6,13,1
52,24,6,13,1
53,34,6,13,1
54,30,6,13,1
55,20,6,13,1
56,18,6,13,1
57,14,6,13,1
58,24,6,13,1
59,59,6,13,1
60,18,6,13,1
61,40,6,13,1
62,21,6,13,1
63,23,6,13,1
64,17,6,13,1
65,28,6,13,1
66,13,6,13,1
67,32,6,13,1
68,27,6,13,1
69,116,6,13,1
70,22,6,13,1
71,38,6,13,1
72,26,6,13,1
73,49,6,13,1
74,20,6,13,1
75,28,6,13,1
76,56,6,13,1
77,34,6,13,1
78,92,6,13,1
79,34,6,13,1
80,28,6,13,1
81,18,6,13,1
82,21,6,13,1
83,99,6,13,1
84,58,6,13,1
85,26,6,13,1
86,22,6,13,1
87,124,6,13,1
88,25,6,13,1
89,29,6,13,1
90,113,6,13,1
91,49,6,13,1
92,19,6,13,1
93,13,6,13,1
94,109,6,13,1
95,40,6,13,1
96,34,6,13,1
97,54,6,13,1
98,20,6,13,1
99,20,6,13,1
100,36,6,13,1
101,82,6,13,1
102,53,6,13,1
103,37,6,13,1
104,22,6,13,1
105,59,6,13,1
106,32,6,13,1
107,205,6,13,1
108,37,6,13,1
109,44,6,13,1
110,22,6,13,1
111,43,6,13,1
112,20,6,13,1
113,283,6,13,1
114,29,6,13,1
115,214,6,13,1
116,113,6,13,1
117,33,6,13,1
118,83,6,13,1
119,31,6,13,1
120,43,6,13,1
121,284,6,13,1
122,81,6,13,1
123,39,6,13,1
124,31,6,13,1
125,37,6,13,1
126,21,6,13,1
127,82,6,13,1
128,72,6,13,1
129,14,6,13,1
130,74,6,13,1
131,63,6,13,1
132,65,6,13,1
133,25,6,13,1
134,21,6,13,1
135,14,6,13,1
136,37,6,13,1
137,58,6,13,1
138,17,6,13,1
139,150,6,13,1
140,69,6,13,1
141,22,6,13,1
142,20,6,13,1
143,47,6,13,1
144,20,6,13,1
145,31,6,13,1
146,45,6,13,1
147,18,6,13,1
148,21,6,13,1
149,285,6,13,1
150,78,6,13,1
151,37,6,13,1
152,63,6,13,1
153,286,6,13,1
154,17,6,13,1
155,23,6,13,1
156,15,6,13,1
157,28,6,13,1
158,65,6,13,1
159,53,6,13,1
160,34,6,13,1
161,35,6,13,1
162,47,6,13,1
163,103,6,13,1
164,40,6,13,1
165,65,6,13,1
166,14,6,13,1
167,19,6,13,1
168,67,6,13,1
169,5,6,13,1
170,16,6,13,1
171,24,6,13,1
172,26,6,13,1
173,18,6,13,1
174,73,6,13,1
175,281,6,13,1
176,70,6,13,1
177,32,6,13,1
178,52,6,13,1
179,19,6,13,1
180,16,6,13,1
181,20,6,13,1
182,21,6,13,1
183,134,6,13,1
184,11,6,13,1
185,29,6,13,1
186,25,6,13,1
187,23,6,13,1
188,84,6,13,1
189,47,6,13,1
190,55,6,13,1
191,16,6,13,1
192,26,6,13,1
193,37,6,13,1
194,46,6,13,1
195,27,6,13,1
196,36,6,13,1
197,27,6,13,1
198,79,6,13,1
199,41,6,13,1
200,111,6,13,1
201,281,6,13,1
202,45,6,13,1
203,17,6,13,1
204,22,6,13,1
205,40,6,13,1
206,64,6,13,1
207,43,6,13,1
208,26,6,13,1
209,64,6,13,1
210,22,6,13,1
211,33,6,13,1
212,87,6,13,1
213,34,6,13,1
214,24,6,13,1
215,17,6,13,1
216,15,6,13,1
217,20,6,13,1
218,28,6,13,1
219,67,6,13,1
220,15,6,13,1
221,28,6,13,1
222,36,6,13,1
223,168,6,13,1
224,13,6,13,1
225,41,6,13,1
226,25,6,13,1
227,71,6,13,1
228,24,6,13,1
229,84,6,13,1
230,37,6,13,1
231,141,6,13,1
232,97,6,13,1
233,47,6,13,1
234,94,6,13,1
235,50,6,13,1
236,80,6,13,1
237,33,6,13,1
238,19,6,13,1
239,27,6,13,1
240,19,6,13,1
241,280,6,13,1
242,32,6,13,1
243,15,6,13,1
244,141,6,13,1
245,20,6,13,1
246,19,6,13,1
247,61,6,13,1
248,28,6,13,1
249,90,6,13,1
250,31,6,13,1
251,10,6,13,1
252,21,6,13,1
253,24,6,13,1
254,110,6,13,1
255,38,6,13,1
256,34,6,13,1
257,32,6,13,1
258,20,6,13,1
259,47,6,13,1
260,45,6,13,1
261,29,6,13,1
262,82,6,13,1
263,117,6,13,1
264,33,6,13,1
265,21,6,13,1
266,21,6,13,1
267,57,6,13,1
268,51,6,13,1
269,18,6,13,1
270,61,6,13,1
271,41,6,13,1
272,62,6,13,1
273,280,6,13,1
274,40,6,13,1
275,22,6,13,1
276,23,6,13,1
277,77,6,13,1
278,13,6,13,1
279,38,6,13,1
280,29,6,13,1
281,30,6,13,1
282,109,6,13,1
283,49,6,13,1
284,18,6,13,1
285,26,6,13,1
286,37,6,13,1
287,168,6,13,1
288,26,6,13,1
289,33,6,13,1
290,21,6,13,1
291,30,6,13,1
292,30,6,13,1
293,75,6,13,1
294,25,6,13,1
295,47,6,13,1
296,19,6,13,1
297,12,6,13,1
298,129,6,13,1
299,17,6,13,1
300,15,6,13,1
301,287,6,13,1
302,19,6,13,1
303,136,6,13,1
304,147,6,13,1
305,36,6,13,1
306,24,6,13,1
307,29,6,13,1
308,33,6,13,1
309,64,6,13,1
310,29,6,13,1
311,84,6,13,1
312,82,6,13,1
313,280,6,13,1
314,15,6,13,1
315,21,6,13,1
316,97,6,13,1
317,44,6,13,1
318,56,6,13,1
319,26,6,13,1
320,13,6,13,1
321,149,6,13,1
322,34,6,13,1
323,163,6,13,1
324,24,6,13,1
325,15,6,13,1
326,55,6,13,1
327,18,6,13,1
328,34,6,13,1
329,42,6,13,1
330,10,6,13,1
331,38,6,13,1
332,86,6,13,1
333,80,6,13,1
334,13,6,13,1
335,83,6,13,1
336,27,6,13,1
337,282,6,13,1
338,76,6,13,1
339,14,6,13,1
340,49,6,13,1
341,15,6,13,1
342,22,6,13,1
343,28,6,13,1
344,147,6,13,1
345,15,6,13,1
346,37,6,13,1
347,19,6,13,1
348,34,6,13,1
349,102,6,13,1
350,21,6,13,1
351,46,6,13,1
352,31,6,13,1
353,44,6,13,1
354,60,6,13,1
355,25,6,13,1
356,27,6,13,1
357,45,6,13,1
358,100,6,13,1
359,43,6,13,1
360,159,6,13,1
361,30,6,13,1
362,57,6,13,1
363,42,6,13,1
364,21,6,13,1
365,93,6,13,1
366,30,6,13,1
367,23,6,13,1
368,107,6,13,1
369,12,6,13,1
370,11,6,13,1
371,24,6,13,1
372,38,6,13,1
373,47,6,13,1
374,10,6,13,1
375,91,6,13,1
376,73,6,13,1
377,21,6,13,1
378,13,6,13,1
379,15,6,13,1
380,26,6,13,1
381,37,6,13,1
382,21,6,13,1
383,128,6,13,1
384,39,6,13,1
385,17,6,13,1
386,40,6,13,1
387,44,6,13,1
388,42,6,13,1
