NUM_LOOP,FREQ,EVAL_BITS,REP_BITS,BOARD_NUM
316,21,6,2,0
317,231,6,2,0
318,17,6,2,0
319,17,6,2,0
320,28,6,2,0
321,18,6,2,0
322,60,6,2,0
323,33,6,2,0
324,26,6,2,0
325,33,6,2,0
326,44,6,2,0
327,25,6,2,0
328,34,6,2,0
329,31,6,2,0
330,78,6,2,0
331,14,6,2,0
332,24,6,2,0
333,24,6,2,0
334,87,6,2,0
335,18,6,2,0
336,23,6,2,0
337,16,6,2,0
338,13,6,2,0
339,45,6,2,0
340,10,6,2,0
341,228,6,2,0
342,45,6,2,0
343,14,6,2,0
344,20,6,2,0
345,15,6,2,0
346,58,6,2,0
347,13,6,2,0
348,18,6,2,0
349,21,6,2,0
350,21,6,2,0
351,35,6,2,0
352,32,6,2,0
353,31,6,2,0
354,226,6,2,0
355,25,6,2,0
356,35,6,2,0
357,33,6,2,0
358,38,6,2,0
359,14,6,2,0
360,47,6,2,0
361,26,6,2,0
362,104,6,2,0
363,30,6,2,0
364,25,6,2,0
365,113,6,2,0
366,102,6,2,0
367,15,6,2,0
368,23,6,2,0
369,14,6,2,0
370,16,6,2,0
371,33,6,2,0
372,61,6,2,0
373,32,6,2,0
374,50,6,2,0
375,13,6,2,0
376,30,6,2,0
377,94,6,2,0
378,42,6,2,0
379,13,6,2,0
380,18,6,2,0
381,80,6,2,0
382,16,6,2,0
383,23,6,2,0
384,14,6,2,0
385,63,6,2,0
386,37,6,2,0
387,83,6,2,0
388,18,6,2,0
389,78,6,2,0
390,20,6,2,0
391,40,6,2,0
392,45,6,2,0
393,199,6,2,0
394,99,6,2,0
395,33,6,2,0
396,36,6,2,0
397,229,6,2,0
398,29,6,2,0
399,49,6,2,0
400,25,6,2,0
401,25,6,2,0
402,14,6,2,0
403,30,6,2,0
404,171,6,2,0
405,191,6,2,0
406,29,6,2,0
407,20,6,2,0
408,59,6,2,0
409,223,6,2,0
410,45,6,2,0
411,25,6,2,0
412,187,6,2,0
413,152,6,2,0
414,19,6,2,0
415,52,6,2,0
416,24,6,2,0
417,24,6,2,0
418,71,6,2,0
419,64,6,2,0
420,10,6,2,0
421,15,6,2,0
422,65,6,2,0
423,34,6,2,0
424,21,6,2,0
425,89,6,2,0
426,30,6,2,0
427,22,6,2,0
428,17,6,2,0
429,44,6,2,0
430,25,6,2,0
431,133,6,2,0
432,24,6,2,0
433,31,6,2,0
434,30,6,2,0
435,23,6,2,0
436,21,6,2,0
437,32,6,2,0
438,52,6,2,0
439,15,6,2,0
440,14,6,2,0
441,84,6,2,0
442,226,6,2,0
443,34,6,2,0
444,53,6,2,0
445,226,6,2,0
446,80,6,2,0
447,18,6,2,0
448,38,6,2,0
449,26,6,2,0
450,35,6,2,0
451,28,6,2,0
452,29,6,2,0
453,29,6,2,0
454,14,6,2,0
455,37,6,2,0
456,29,6,2,0
457,21,6,2,0
458,39,6,2,0
459,215,6,2,0
460,43,6,2,0
461,31,6,2,0
462,27,6,2,0
463,43,6,2,0
464,81,6,2,0
465,29,6,2,0
466,42,6,2,0
467,20,6,2,0
468,26,6,2,0
469,226,6,2,0
470,221,6,2,0
471,38,6,2,0
472,70,6,2,0
473,21,6,2,0
474,19,6,2,0
475,28,6,2,0
476,16,6,2,0
477,17,6,2,0
478,35,6,2,0
479,92,6,2,0
480,176,6,2,0
481,18,6,2,0
482,62,6,2,0
483,170,6,2,0
484,216,6,2,0
485,14,6,2,0
486,22,6,2,0
487,15,6,2,0
488,25,6,2,0
489,22,6,2,0
490,71,6,2,0
491,28,6,2,0
492,50,6,2,0
493,18,6,2,0
494,42,6,2,0
495,14,6,2,0
496,46,6,2,0
497,31,6,2,0
498,223,6,2,0
499,16,6,2,0
500,26,6,2,0
501,25,6,2,0
502,43,6,2,0
503,219,6,2,0
504,72,6,2,0
505,64,6,2,0
506,18,6,2,0
507,28,6,2,0
508,28,6,2,0
509,13,6,2,0
510,53,6,2,0
511,21,6,2,0
512,14,6,2,0
513,37,6,2,0
514,223,6,2,0
515,10,6,2,0
516,36,6,2,0
517,186,6,2,0
518,191,6,2,0
519,13,6,2,0
520,21,6,2,0
521,21,6,2,0
522,26,6,2,0
523,8,6,2,0
524,29,6,2,0
525,18,6,2,0
526,38,6,2,0
527,16,6,2,0
528,19,6,2,0
529,220,6,2,0
530,16,6,2,0
531,233,6,2,0
532,171,6,2,0
533,230,6,2,0
534,34,6,2,0
535,26,6,2,0
536,14,6,2,0
537,17,6,2,0
538,13,6,2,0
539,21,6,2,0
540,108,6,2,0
541,20,6,2,0
542,16,6,2,0
543,34,6,2,0
544,151,6,2,0
545,49,6,2,0
546,20,6,2,0
547,39,6,2,0
548,220,6,2,0
549,60,6,2,0
550,75,6,2,0
551,97,6,2,0
552,15,6,2,0
553,33,6,2,0
554,19,6,2,0
555,58,6,2,0
556,21,6,2,0
557,18,6,2,0
558,28,6,2,0
559,46,6,2,0
560,49,6,2,0
561,37,6,2,0
562,21,6,2,0
563,44,6,2,0
564,195,6,2,0
565,45,6,2,0
566,43,6,2,0
567,231,6,2,0
568,32,6,2,0
569,37,6,2,0
570,39,6,2,0
571,30,6,2,0
572,63,6,2,0
573,44,6,2,0
574,49,6,2,0
575,19,6,2,0
576,20,6,2,0
577,28,6,2,0
578,23,6,2,0
579,15,6,2,0
580,38,6,2,0
581,11,6,2,0
582,16,6,2,0
583,43,6,2,0
584,177,6,2,0
585,19,6,2,0
586,37,6,2,0
587,16,6,2,0
588,28,6,2,0
589,224,6,2,0
590,38,6,2,0
591,34,6,2,0
592,46,6,2,0
593,219,6,2,0
594,91,6,2,0
595,38,6,2,0
596,43,6,2,0
597,50,6,2,0
598,46,6,2,0
599,12,6,2,0
