EVAL6_REP1,EVAL6_REP13,EVAL11_REP1,EVAL18_REP1,EVAL20_REP1,EVAL20_REP4_short,EVAL22_REP1,EVAL24_REP1_short
0.9765,0.9875,0.952375,0.96,0.959625,0.9930555555555556,0.95275,0.971875
0.950375,0.964125,0.960625,0.955875,0.9450000000000001,0.9430555555555555,0.9395,0.94375
0.891625,0.960375,0.89625,0.92,0.9373750000000001,0.9513888888888888,0.903625,0.9234375
0.926,0.987375,0.9435,0.9233750000000001,0.945375,0.9486111111111111,0.9135,0.940625
0.931125,0.986875,0.948,0.90875,0.92825,0.9486111111111111,0.9005000000000001,0.95625
0.94175,0.963875,0.960625,0.9293750000000001,0.95025,0.9486111111111111,0.95525,0.9265625
0.974375,0.99075,0.950125,0.9315,0.947625,0.9819444444444444,0.969125,0.9546875
0.936375,0.97925,0.9285,0.90875,0.93675,0.9666666666666667,0.91675,0.9390625
0.9185,0.96875,0.914625,0.9225,0.929625,0.9472222222222222,0.91875,0.9328125
0.92875,0.961875,0.96275,0.94175,0.9565,0.9805555555555555,0.935125,0.946875
0.953125,0.984125,0.942,0.932875,0.93925,0.9541666666666666,0.9359999999999999,0.975
0.956375,0.977875,0.9725,0.9315,0.96825,0.9791666666666666,0.95525,0.9640625
0.944,0.988,0.94375,0.949125,0.936125,0.9722222222222222,0.94075,0.9328125
0.93675,0.973875,0.9299999999999999,0.912625,0.92125,0.9722222222222222,0.93425,0.9265625
0.94875,0.971,0.9595,0.96225,0.96775,0.9569444444444445,0.9275,0.9421875
0.85325,0.964875,0.9095,0.9095,0.915,0.9513888888888888,0.9155,0.9
0.945125,0.9725,0.9325,0.96225,0.95225,0.9777777777777777,0.952375,0.975
0.959625,0.975375,0.95625,0.957125,0.9685,0.9625,0.926125,0.946875
0.93725,0.981,0.955125,0.921,0.935875,0.9666666666666667,0.915625,0.9671875
0.948875,0.9565,0.94775,0.921,0.924625,0.9625,0.908625,0.9375
0.922125,0.977,0.9235,0.9319999999999999,0.937,0.9680555555555556,0.92625,0.9484375
0.959125,0.976,0.94625,0.94975,0.9605,0.9638888888888889,0.933875,0.9640625
0.94775,0.9815,0.9485,0.949125,0.921125,0.9694444444444444,0.921375,0.940625
0.886875,0.975125,0.9037499999999999,0.890625,0.93925,0.9694444444444444,0.92875,0.9546875
0.94325,0.952625,0.94025,0.953625,0.94125,0.9694444444444444,0.9445,0.9515625
0.93425,0.97325,0.9345,0.9273750000000001,0.932875,0.9638888888888889,0.934375,0.9609375
0.939,0.959625,0.95375,0.92625,0.911,0.9763888888888889,0.905375,0.9328125
0.947625,0.99425,0.947125,0.975375,0.9476249999999999,0.975,0.954125,0.9328125
0.967625,0.991625,0.958875,0.940375,0.9279999999999999,0.9666666666666667,0.976125,0.9671875
0.922125,0.962625,0.915375,0.91075,0.934875,0.9430555555555555,0.9355,0.940625
0.9325,0.98525,0.91125,0.9273750000000001,0.94525,0.9388888888888889,0.916875,0.9
0.9455,0.940625,0.9255,0.9420000000000001,0.936375,0.9291666666666667,0.924,0.9484375
0.9356249999999999,0.9625,0.924125,0.931125,0.95025,0.9458333333333333,0.938125,0.953125
0.936375,0.964375,0.935125,0.946,0.950375,0.9458333333333333,0.922,0.9625
0.96425,0.95175,0.95075,0.927125,0.92275,0.9472222222222222,0.9565,0.9625
0.9333750000000001,0.98325,0.926875,0.9193749999999999,0.953125,0.9555555555555556,0.9380000000000001,0.946875
0.959375,0.956625,0.9380000000000001,0.939125,0.942125,0.9638888888888889,0.945375,0.95
0.951625,0.962125,0.95875,0.96375,0.95225,0.9569444444444445,0.95575,0.978125
0.936125,0.97225,0.940625,0.92475,0.9546250000000001,0.9486111111111111,0.9345,0.971875
0.9435,0.981,0.9435,0.919625,0.947625,0.9555555555555556,0.936375,0.9328125
